id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
2012_62546,0,5,0,571,571,8291,100.49,32.8020034771,-117.01107725700001,ROBBERY
2011_62746,0,3,1,168,601,5033,14.14,32.8276828125,-117.204722641,ROBBERY
2011_63020,0,1,2,807,276,918,10.0,32.716230454,-117.162907125,ROBBERY
2012_63191,0,1,0,307,242,3325,31.62,32.7218732593,-117.08492106799999,ROBBERY
2012_63343,0,2,0,130,130,3534,98.48,32.818833161,-117.17688613899999,ROBBERY
2012_63587,0,4,2,173,254,1631,10.0,32.7524788001,-117.065663184,ROBBERY
2011_63639,0,5,0,1195,2049,1486,64.03,32.6886302078,-117.119903621,ROBBERY
2011_64043,0,7,2,430,20,1888,14.14,32.7497529276,-117.117744119,ROBBERY
2012_64243,0,3,0,2532,680,510,28.28,32.5446608766,-117.02907483,ROBBERY
2012_64430,0,5,1,151,223,811,10.0,32.751672829,-117.161503344,ROBBERY
2011_64449,1,1,2,4006,4622,5008,10.0,32.774113878200005,-117.252874316,ROBBERY
2011_64568,1,6,2,318,314,6610,14.14,32.7463205931,-117.25019383899999,ROBBERY
2012_64661,0,7,2,364,409,1181,20.0,32.9125786883,-117.148000376,ROBBERY
2012_64718,0,2,0,610,657,1752,44.72,32.7709019394,-117.04246575299999,ROBBERY
2012_64829,0,7,0,298,778,3985,14.14,32.7068136916,-117.085003974,ROBBERY
2011_64852,0,1,0,1234,1234,5402,36.05,32.782387251399996,-117.08482356399999,ROBBERY
2012_65009,0,5,0,404,604,952,41.23,32.7523319433,-117.10441935200001,ROBBERY
2012_65289,0,7,0,1391,67,2619,70.0,32.7958420556,-117.254296888,ROBBERY
2011_65415,0,4,0,2188,2533,1625,80.0,32.7393615129,-117.09226411899999,ROBBERY
2011_65687,0,5,0,680,680,1177,90.55,32.6960449773,-117.111388981,ROBBERY
2011_65910,0,3,1,488,3566,1910,28.28,32.6845331883,-117.123649532,ROBBERY
2012_65965,1,4,3,458,299,721,14.14,32.7484575211,-117.133741445,ROBBERY
2012_66029,0,5,3,497,497,854,20.0,32.7496602682,-117.10661813200001,ROBBERY
2012_66123,0,4,1,322,322,1053,60.82,32.7484769067,-117.108179791,ROBBERY
2011_66282,1,6,0,453,484,2120,41.23,32.7542445964,-117.11472112,ROBBERY
2012_66463,0,1,2,1368,2022,3004,14.14,32.767576364600004,-117.14736229399999,ROBBERY
2012_66580,0,3,6,35,35,862,10.0,32.718350751799996,-117.154718039,ROBBERY
2011_67168,0,7,0,1052,1052,3207,36.05,32.7214414405,-117.09304716,ROBBERY
2012_67627,0,3,0,459,462,182,53.85,32.7543550201,-117.136344174,ROBBERY
2012_67827,0,2,2,1440,42,2667,20.0,32.7938930396,-117.25467166700001,ROBBERY
2012_67917,0,7,0,1002,880,740,90.55,32.743100238800004,-117.10454285700001,ROBBERY
2011_68383,1,5,0,1217,124,1409,80.62,32.7504448295,-117.092265991,ROBBERY
2011_68396,0,5,1,174,157,4916,31.62,32.834381899,-117.177169619,ROBBERY
2012_68425,0,5,4,240,211,1997,14.14,32.7565349132,-117.088721827,ROBBERY
2011_68516,1,6,2,794,1132,1300,14.14,32.7551453211,-117.104775156,ROBBERY
2011_68613,0,5,0,1046,1046,1227,22.36,32.569124386700004,-117.07084872899999,ROBBERY
2012_68845,2,0,4,675,9,609,10.0,32.7167638657,-117.15971827799999,ROBBERY
2011_69024,0,3,4,217,217,1270,14.14,32.7496817475,-117.109113594,ROBBERY
2012_69417,0,3,1,429,9,1464,28.28,32.715817925500005,-117.13790575899999,ROBBERY
2012_69684,0,1,0,1077,1068,4300,53.85,32.556776205300004,-117.066441342,ROBBERY
2012_69782,0,7,0,406,220,4223,86.02,32.801883048600004,-117.043473631,ROBBERY
2012_69890,0,5,0,982,804,1310,92.19,32.7423729999,-117.1649423,ROBBERY
2012_69891,0,4,1,5721,212,1170,20.0,32.545415831199996,-117.039680172,ROBBERY
2011_70032,0,5,1,424,424,1028,22.36,32.748431114,-117.14465146299999,ROBBERY
2011_70138,0,3,1,346,3409,4142,41.23,32.7845348886,-117.128316203,ROBBERY
2011_70404,0,9,3,546,519,2114,0.0,32.7515212047,-117.20451848100001,ROBBERY
2011_70418,0,3,0,1539,2951,2544,36.05,32.7340486712,-117.09085242399999,ROBBERY
2012_70543,0,7,0,71,378,4306,89.44,32.7840728825,-117.09792781799999,ROBBERY
2011_70823,0,4,1,544,211,2430,20.0,32.765670084899995,-117.05998576200001,ROBBERY
2011_70891,0,1,1,1074,726,3332,20.0,32.7614570154,-117.16788214,ROBBERY
2012_71083,0,3,2,1023,1053,2471,22.36,32.696819514299996,-117.09778500000002,ROBBERY
2012_71573,1,1,0,971,539,6427,120.0,32.7445686437,-117.254730454,ROBBERY
2012_71621,0,3,0,2532,680,510,28.28,32.5446608766,-117.02907483,ROBBERY
2012_71855,0,2,6,796,612,766,0.0,32.7157030081,-117.159708954,ROBBERY
2012_72128,0,1,1,2029,3256,5578,14.14,32.7194759758,-117.255728709,ROBBERY
2011_72196,0,2,0,261,1629,1795,22.36,32.709712484,-117.05094687200001,ROBBERY
2011_72489,0,1,1,1074,726,3332,20.0,32.7614570154,-117.16788214,ROBBERY
2011_72549,1,5,0,797,88,1879,80.62,32.754023677199996,-117.09222214100001,ROBBERY
2012_72570,0,2,1,1571,1640,3889,14.14,32.716828220100005,-117.084946431,ROBBERY
2012_72701,0,11,0,606,849,4181,36.05,32.7706054779,-117.147123069,ROBBERY
2012_72903,0,1,1,869,827,1177,20.0,32.7689596911,-117.15187296399999,ROBBERY
2011_72952,0,6,0,340,370,3813,98.99,32.8203469054,-117.18241876299999,ROBBERY
2012_73209,0,6,0,485,485,584,22.36,32.7460396265,-117.16158655,ROBBERY
2011_73261,0,4,1,280,280,777,10.0,32.6960143535,-117.115663107,ROBBERY
2012_73718,1,5,2,466,20,370,14.14,32.7496179183,-117.101426783,ROBBERY
2012_74020,0,3,2,915,1023,291,41.23,32.7214574296,-117.159299448,ROBBERY
2011_74109,0,4,0,470,311,913,41.23,32.7466718798,-117.135725366,ROBBERY
2011_74269,0,7,4,534,284,1458,10.0,32.7573002273,-117.08306283200001,ROBBERY
2011_74381,0,1,0,307,242,3325,31.62,32.7218732593,-117.08492106799999,ROBBERY
2012_74444,0,9,1,209,45,3906,56.56,32.8200228127,-117.179056617,ROBBERY
2011_74507,0,1,1,523,523,3345,22.36,32.7275138638,-117.08680941899999,ROBBERY
2011_75168,0,4,0,564,540,5685,28.28,33.0167029698,-117.07657354700001,ROBBERY
2011_75288,0,6,0,1216,243,2443,92.19,32.7962430802,-117.252469332,ROBBERY
2012_75344,0,6,0,976,628,6991,40.0,32.7081591026,-117.084999231,ROBBERY
2011_75698,0,2,1,526,526,2094,80.62,32.7685984881,-117.052586086,ROBBERY
2011_75862,1,5,0,1626,356,7326,80.62,32.8498312216,-117.272159355,ROBBERY
2012_75953,0,6,0,976,628,6991,40.0,32.7081591026,-117.084999231,ROBBERY
2012_76102,0,8,1,232,16,6293,22.36,32.744410275,-117.24918670299999,ROBBERY
2011_76142,0,1,0,627,806,1821,30.0,32.7115951879,-117.118372348,ROBBERY
2011_76757,0,0,0,830,830,2337,70.71,32.8035283617,-117.113759101,ROBBERY
2011_76888,0,4,0,139,80,2324,90.55,32.787772943600004,-117.237186897,ROBBERY
2012_76943,0,2,2,620,611,534,14.14,32.7531445813,-117.130161806,ROBBERY
2011_77100,2,2,3,735,815,669,10.0,32.716231506999996,-117.160161456,ROBBERY
