id,windows,car,lights,gas,convience,sdpd,lampdist,lat,lon,crime
s_436,0,2,1,3117,3117,3216,11.917712643563815,32.9247625,-117.1563684,safe
s_437,0,4,0,3007,3007,3106,32.326612917283846,32.9257531,-117.1563577,safe
s_438,0,2,0,1403,1403,3195,66.26094059928255,32.9259176,-117.1522472,safe
s_439,0,2,0,2174,2174,3006,33.37722078756885,32.926602,-117.1545003,safe
s_440,0,1,0,1487,1487,3446,54.64746480340446,32.9279438,-117.1514426,safe
s_441,0,4,1,1489,1489,2898,21.09366504143454,32.9274395,-117.1507988,safe
s_442,0,5,0,1371,1371,2780,31.289808951356324,32.9274665,-117.1495328,safe
s_443,0,5,0,968,968,1990,69.04940154291901,32.9258721,-117.1356649,safe
s_444,0,5,0,1072,1072,2094,52.42425426814051,32.9267997,-117.1356703,safe
s_445,0,3,0,1224,1224,2246,40.15916742257293,32.9271059,-117.1344097,safe
s_446,0,4,0,1321,1321,2343,70.82860375161637,32.9271329,-117.1333743,safe
s_447,1,4,0,1199,1199,2221,105.81768331179754,32.9264169,-117.1338008,safe
s_448,0,4,0,1299,1299,2321,51.22659532579186,32.9261468,-117.1317194,safe
s_449,1,4,0,1359,1359,2230,23.87128056575438,32.925701,-117.132921,safe
s_450,0,5,0,1446,1446,2537,41.089795714011885,32.9274706,-117.1317087,safe
s_451,0,2,0,1343,1343,2441,58.288967010617554,32.9248768,-117.1291812,safe
s_452,0,3,0,1420,1420,2365,54.78156976362457,32.9248512,-117.1300046,safe
s_453,0,5,1,373,378,2326,20.041201144861667,32.9196414,-117.1244504,safe
s_454,0,4,0,453,457,2406,25.738080814351527,32.9196594,-117.1235653,safe
s_455,0,4,1,440,440,2318,22.526993876768174,32.9196304,-117.1257049,safe
s_456,0,0,0,559,564,2443,36.159003288727405,32.920603,-117.124353,safe
s_457,0,2,1,589,593,2195,9.682557983880505,32.9210488,-117.1258229,safe
s_458,0,3,0,888,893,2495,26.48921963068986,32.9217378,-117.1266383,safe
s_459,0,1,1,771,776,2377,20.210154860945885,32.9222061,-117.1257961,safe
s_460,0,4,0,1808,1748,3325,54.71259284297685,32.9231006,-117.1240643,safe
s_461,0,3,0,1854,1794,3087,25.17003720166313,32.9226864,-117.124126,safe
s_462,0,4,0,691,691,1906,41.427425993276245,32.9185461,-117.1279652,safe
s_463,0,2,0,624,624,2226,40.053878005643675,32.9192485,-117.1280523,safe
s_464,0,2,0,652,652,2221,63.85414281151029,32.9198924,-117.1276178,safe
s_465,0,3,0,826,826,2070,84.40114334192198,32.920014,-117.1293934,safe
s_466,0,1,0,1062,1062,3213,74.62625420172719,32.917641,-117.1115722,safe
s_467,0,1,0,1375,1375,3526,34.9158139489696,32.9195053,-117.11316,safe
s_468,0,3,1,1996,1996,3603,19.28841475233809,32.9216607,-117.1190319,safe
s_469,0,4,1,503,503,2931,9.681378583941257,32.7638092,-117.0542993,safe
s_470,0,3,1,785,785,2881,18.43598011527281,32.7641701,-117.0533122,safe
s_471,0,5,0,824,824,2642,40.653675940142854,32.7632655,-117.0518399,safe
s_472,0,3,0,461,461,2473,41.81798556404014,32.7655555,-117.0529728,safe
s_473,0,5,0,586,586,2348,43.30708971483236,32.7655645,-117.0516317,safe
s_474,0,6,0,1459,1459,2231,25.83736078575116,32.7082317,-117.0232852,safe
s_475,0,5,0,641,1129,2561,24.188875963973253,32.7111205,-117.0241006,safe
s_476,0,1,1,1449,2287,1806,23.504726004689864,32.7062095,-117.0258172,safe
s_477,0,4,1,1133,1626,2738,17.799931495094548,32.7122037,-117.0290036,safe
s_478,0,2,0,1339,1473,1696,54.15845869478844,32.7058709,-117.0269169,safe
s_479,0,4,1,1182,1676,2701,10.209264743278927,32.7122396,-117.0305489,safe
s_480,0,4,0,1341,1830,2855,68.5454369984539,32.7135847,-117.0309458,safe
s_481,0,3,2,1581,1603,1768,11.181366904492986,32.7049548,-117.0312495,safe
s_482,0,3,0,1418,1440,1606,39.02387439276947,32.705361,-117.0329983,safe
s_483,0,4,0,996,1018,1183,40.949888664135614,32.7045937,-117.0326979,safe
s_484,0,4,1,1244,1506,1672,8.828834542065952,32.7060874,-117.0295729,safe
s_485,0,5,0,931,952,1118,49.53339035256903,32.7052548,-117.0342424,safe
s_486,0,2,0,1414,1874,2039,32.581499505299654,32.7086763,-117.0296679,safe
s_487,0,7,0,1737,1759,1925,38.865956293532655,32.7083152,-117.0308159,safe
s_488,0,2,0,1161,1650,2114,37.627613709352005,32.7091186,-117.0270394,safe
s_489,0,0,0,3056,5324,5490,33.98523810123938,32.7170805,-117.0445765,safe
s_490,0,2,0,1494,2871,3036,39.5770549254825,32.7142822,-117.0409073,safe
s_491,0,4,0,1554,3095,3261,88.5341415275093,32.7161598,-117.0401133,safe
s_492,0,3,0,2201,3329,3494,63.67608428613698,32.7170986,-117.0384396,safe
s_493,0,3,0,1974,3480,3646,71.38520797035049,32.7186692,-117.0376028,safe
s_494,0,3,0,1408,2877,3043,28.147445202619487,32.7155731,-117.0365299,safe
s_495,0,3,0,1573,3042,3208,82.05082214385952,32.7159973,-117.0375277,safe
s_496,0,5,1,621,1507,3212,13.464968434938566,32.7158505,-117.0306165,safe
